jp,en,kr
<兄:あに>さまが一緒じゃないと……,Without you there--,
……！？,...!?,
は、はい！　ええっと、交代する前に<厠:かわや>に行きたいのですが……,Ye-Yes sir! Well... I really need to relieve myself before we switch...,
あそこに居るのが本物の聖上で、オシュトルが正しかったと言うでおじゃるか？,"I-I'faith, if yon lady be your l--faith,
MY liege... Oshtor... He spake true?
All along?",
砦の城壁が破られました。そこから敵兵の侵入を許してしまっています。,"The ramparts of the fortress have been breached.
With this, the enemy soldiers have gained access.",
國を司る<皇:オゥルォ>ともあろう者が兵や民草より先に倒れて何とする！,"An owlo who is slain before their soldiers and
their citizens does not deserve to rule them!",
"城の客間には、最上級の客人をもてなすかの様な、
贅を極めた料理が並べられている。","We meet in the parlor of the castle--greeted with
tables full of the most luxurious delicacies
imaginable; fit for only the noblest of guests.",
ムネチカッ！　今すぐオシュトルを止めよ！！,"Munechika, you must intervene and stop Oshtor at
once! I command it!",
んん？,Hm?,
だが、この<戦:いくさ>を始めたのは俺だ。お前にそこまでさせる訳にはいかぬ。,"But this war was my doing. I started this, and
I will not allow you to end it for me.",
ルルティエはお姉ちゃんとずーっと、このお城で一緒でしょ？,"You're going to stay in this castle with me
forever. Isn't that right, Rulutieh?",
そう、それだ！,"Yes, that's it!",
一体、何の騒ぎ……ってこりゃあ。,"What's with the racket... Oh, geez.",
そこまで危険を冒すには、それ相応の理由があるのではないか？,"There must be some reason you are willing to take
such a risk, correct?",
その男は、そう思っておらぬようだ。,"That one seems to have gleaned something of the
truth. Ask him.",
本当なら病気や天災などで、たくさんの人が死んでてもおかしくないはずなのに。,"Without him, there would be far more deaths from
disease and natural disasters.",
聞いてくれ、<某:それがし>達は……,Just hear me out. We--,
"しかし、明らかに媚びを売っていると判っていても、
女の涙の力には逆らえなかったのだろう。","Still, even though it's obviously her trying to
manipulate him, he's got no defense against a
woman's tears...",
俺が此処にいることがそんなに意外だったか？,Are you that surprised to see me here?,
"そう言い掛けて、ノスリの声が急に萎んだ。
そして、困ったようにゲンホウを見つめる。
そして<跋:バツ>が悪そうにゲンホウに尋ねた。","Her voice falters midway, and she darts a look
towards Genho. After clearing her throat, she
asks sheepishly...",
目の前の扉が開き、視界が開ける。,"The doors before us open, and the vast expanse
lies before us once more.",
"何も心配することはない。
ただ、少しでも母上を安心させたいのだ。","There's nothing to worry about. I just want to
give her some peace of mind.",
カミュ。,Camyu.,
言われなくとも、クオンの雰囲気を見ていれば嫌と言うほど伝わってくる。,"It's obvious from the way she acts around her.
I can tell, even if she doesn't say anything
about it.",
だから、お姉さま！　お姉さまにもわたしの事を応援してほしいのです！！,"That is why I want you to support me in my
decision, Sister!",
ごめんね……,...I'm sorry...,
"帝都近郊の難民救済に向かっていた、
我等クジュウリ隊は正体不明の者達と交戦中。","We were en route to the Imperial Capital to help
the refugees. We encountered an unidentified
force, and have engaged them in combat.",
こいつは……ガウンジ！？,I-Is that--Is that a GAUNJI!?,
誰にも告げることができず、苦しかったでしょうに……,"You must have suffered so much, having to keep
silent all this time...",
"これは……恐れ入りました。さすがはオシュトル殿。
皇女殿下の信任が厚いのも頷けますな。","Aha... I apologize. As expected, Lord Oshtor...
I can certainly see how you have won such trust
from Her Highness.",
今更……誰にもとめられぬか。,So... no one can stop you now.,
"ふふ、勘違いなさらないで欲しいのは、
別に貴方がたに情けを掛けたわけではありませんよ？　
ただただ時間が惜しいだけです。","Hmhm... Still, I should make myself clear. This
is by no means an act of mercy, yes? My sole
intent is to avoid wasting my time further.",
ネコネよ、心配は要らぬのじゃ。オシュトルならば、ミカヅチに負けはせぬぞ。,"Nekone, discard your worry. Oshtor would not come
this far just to lose to Mikazuchi.",
もう……抑えられない……このままじゃ、みんなを殺しちゃう……,"I can't... control it anymore... I'm going to
end up killing you all...",
まだ<某:それがし>を……その名で呼んで下さりますか、聖上……,"You still... call me by that name, my liege...?",
約束か……,A promise...,
戻りましょう。オシュトル殿もこう言っておられる。,"Listen to Lord Oshtor, child. Let us return.",
その化けの皮、マロが剥いでやるでおじゃる……,"Come now, Oshtor. Ere I flay that loathsome
disguise from thy countenance, all may behold
the murderer's face beneath...",
"構わぬ。ルモイの関が陥ち、<防人:さきもり>が全滅した。
この意味はエンナカムイにとって、あまりにも重い……","It matters little. Rumoy Pass has fallen, and the
soldiers charged with its defense have been wiped
out. To Ennakamuy, this is grave news indeed...",
………,...,
"じっとエルルゥの顔を見つめた。
少し寂しげに微笑む彼女の顔から真意は読み取れない。","Our gazes meet. I stare at Eruruu in silence for
a couple moments, but I can't read anything in
her face. Her only response is a melancholy smile.",
しかし、その考えを振り払った。,But I quickly shake off those thoughts.,
確か、二人はトキフサ殿の治める氏族の出であったな？,"As I recall, you two hail from the clan that
Lord Tokifusa rules over?",
それを是とせず、簒奪しようというのであれば、共に戦うわけにはいかぬ。,"If yours would snatch that away from her, then
we cannot trust any diplomatic overtures you make,
well-intentioned or otherwise.",
それにトゥスクルも、その後具体的な動きはない。,"And Tuskur's shown no signs of movement, either.",
無論。戯れでこのような地に来るわけがあるまい。,"Of course I understand. I would not endure such
a journey merely to trade jests.",
わぁ、お客さんがいっぱいやぇ。,"Ooh, so many of them came out to play!",
"ハク殿……ハッ！？　そ、そうでおじゃる、
ハク殿に#@－－#、ハク殿……ハク殿は<何処:どこ>にいるでおじゃるか！？","Master H-- Oh! Prithee, bring Master Haku, then.
I'll have it from him. Master Haku, show thyself!
Where art thou?",
……オシュトル？,...Oshtor...?,
す、すみません……,Th-Thank you...,
ああ、アレか。確かにありゃあ、<効果覿面:こうかてきめん>だったな。,"Ah, that thing! Yeah, we got a lotta use outta
THAT little doodad.",
事情は察しています。お気になさらずに。,"No, I understand your predicament. Do not let it
weigh on you.",
………,...,
"<賢大僧正:オルヤンクル>が言っていた全てを知る者とは、
この人ではないということか。","So she isn't the one that the Oruyankuru
mentioned. The one who knows all.",
あなたが……あなたがルルティエを#@－－#！！,It was you...! YOU did this to her!!,
一瞬訝しげな顔をしたものの、取り繕うように笑みを浮かべて盃を<呷:あお>る。,"For a moment, his face looks ponderous... but
he smiles, as if to mend his hesitation, and
drinks deep.",
そ、それは……,Th-That is...,
お姉さま！　お兄さま！！,Sister! Brother!,
しかし……相変わらず、硬い男でおじゃるな。,Still... th'art as rigid a man as I remember.,
そんな折、宿の女将が村に伝わる「マシロ様」の話を聞かせてくれた。,"During her stay there, the innkeeper regales her with tales being spread throughout
the village of a certain Lord Mashiro.",
………,...,
ただ。,But.,
<某:それがし>も異論は無い。,I have no objections.,
んな！？　ちょ、ちょっと。,Wh--!? H-Hold it!,
……！？,...!?,
"……貴方たちは自分たちこそが持つに<相応:ふさわ>しい者だと、
<何故:なにゆえ>に主張されるのです。","...Tell me. What claim do you think you have over
this key?",
オウギ？,Ougi?,
むぅ……,Hm...,
"……伯父上から聞いておりませんか？　
私があなたの<許嫁:いいなづけ>であるということを。","...You did not hear it from Uncle? That I am
your fiance?",
……！,...!,
いかん、顔に出ていたか……,"Not good. I let it get to me, and it showed on
my face...",
最後の仕上げ？　まだ何か策を持っているのか？,Final touch? He STILL has something up his sleeve?,
"傷ついても一歩も引かず、ただ前だけを見つめる姿……
これこそ<漢:おとこ>の死に様……","Even through countless wounds, he never faltered.
He was... ever looking forward. He... died a death
any man would be proud of...",
トキフサは<悄然:しょうぜん>と頷くと、ノスリの方に視線を移した。,"Tokifusa nods, his expression somber, then looks
directly to Nosuri.",
判りました……クジュウリとの橋渡しを担うお役目と思って、わたし、頑張ります。,"Then, yes... I will do my best to bridge relations
between Kujyuri and Ennakamuy, if that is my duty.",
ぐぐ……だが、オシュトルが追い込まれているのに変わりはないでおじゃる。,"Rrrrgh... E'en so, thy fate is unchanged! I have
thee cornered, Oshtor, I'll see thee doomed!",
危ないでおじゃるなぁ……,"Really, sirrah! Mind thee thy temper. Else,
thou mayst hurt thyself...",
"シス殿にこれまでの無礼を許すと言っていただけるのなら、
<某:それがし>は改めて、共闘を申し出る。","If you can forgive me for all the discourtesy I
have shown you, I would like to make my request
once more for an alliance with Kujyuri.",
いいのかなぁ……ボーっとしてるとひどい目に遭うと思うんよ？,"You sure you want to just stand there like that...?
You ought to pay more attention, pet, or you
might get a nasty bump.",
何もかも手遅れです、父上……,"It's too late for that, Father...",
ああ、そうだな……お前も……<某:それがし>の可愛い妹だ……,"Yes... You're right... Just as you, too, are
my... adorable little sister...",
この瞬間、全てが決着したと言っていいだろう。一同はホッと息を漏らした。,"Looking at them, it seems clear that the matter's
been resolved. We all breathe a little easier.",
ヤマトに……宣戦布告……？,Declare war... on Yamato...?,
これからやろうとしている事からすれば、それは当然の報いだ。,"It'd be only proper, considering what I'm about
to do.",
旦那っ！,Boss!,
アトゥイさま、それはどういう……,"Miss Atuy, what do you mean by--",
"同盟締結を目的とする重要な会合のためか、
客間で相対するのは、トキフサとその護衛と思しき従者だけだった。","Given the importance of the meeting, Tokifusa and
a small number of his personal guard are the only
other ones here.",
いつまでもそんな所に立ってたら、風邪を引いちゃうかな。ほら、中に入って。,"You'll catch a cold standing out there all night,
Anju. Why don't you come in and talk to us?",
"いや、そもそも中立というのも建前で、
これまで何度か、朝廷のエンナカムイへの進軍を見逃していたという事実もある。","No... The neutrality was only a front. He stood
by and watched while Imperial forces marched on
Ennakamuy--on several occasions.",
アトゥイの<許嫁:いいなづけ>か……,"Atuy's fiance, huh...?",
ふざけているのかっ！　くっ、こんな奴に……,"Are you trying to insult me!? You, who DARED to--
Rrrgh!",
"<海の神様:アトイカロウンカミ>……
どうかオシュトルはんと<殺:や>りあえますように……","O blessed Atuykarounkami... Pleeeease let me
fight Oshtor to the death...!!!",
その思い切りの良さに舌を巻く。,"It's a little surprising they retreated so fast,
even still...",
な#@－－#！,Wha--!?,
大丈夫、すでに赤の他人だから問題ないわ。,"Oh, no need to worry. Our family has absolutely
no ties with him anymore. It won't be a problem.",
"邪魔が入ったことには<憤懣:ふんまん>たる思いもあるが……
それもまた、<戦:いくさ>の常。","Indeed, I cannot say I do not resent the outside
interference... but that is common enough in war.",
……ネコネ。兄をそんな目で見るんじゃない。,Nekone...stop looking at your own brother with such disdain.,
なんせお前等が飛び出してからは、俺の独り住まいだからな。,"Hey, with you two gone, I'm back to livin' like
a bachelor.",
こうして待っていれば、貴方が来ると思っていました。,"We knew that if we were patient, you would come
to us.",
オシュトルよ、どうするのじゃ？,"Oshtor, what do we do?",
<母:はは>さま……,Dear mother...!,
"その言葉、嬉しいでおじゃる……
ライコウ殿も帝都を<戦場:いくさば>にする事を望んではいなかった……","Words to soothe the spirit, were there ever such.
Thou shalt find the capital plain--Master Raiko
forbade me make a battlefield of it...",
まだ引きずっています。,She is still bound.,
やっぱり……<兄:あに>さまは意地悪なのです。,"You... You can be so mean, dear brother.",
<敵:かたき>を取るため。,That I may take revenge.,
"さすがに見通しておられる。
海上で敵を引きつけた後は主力と合流し、全軍の指揮をとって頂きたい。","Keenly observed. Yes--after holding off the enemy
from the sea, I would have you join up with our
main forces to take command.",
もっとも、貴様が生き残っていればの話だがな。,If you survive what's to come.,
！！,!!,
"<兄:あに>さまが<兄:あに>さまになってしまったら、
<兄:あに>さまは……<何処:どこ>へ行ってしまうですか……？",If I admit it... my dear brother will disappear...,
キエテユク……,THEY LEAVE...,
"そ、それはそうかもしれないですけど駄目なのです。
もしばれたらお躰が丈夫ではない<母:はは>さまにはこの上ない毒になるです。","Th-That may be true, but... If she finds out the
truth, it would be disastrous. For us, for her...",
…………,...,
流石の姉上も、緊張しますか。,"Even my magnificent sister knows the feeling of
nervousness? My.",
"オシュトルが好きな<胡桃:クルコ>の<饅頭:マムトゥ>よ。
ゆっくりしていられないだろうと思って、作っておいたの。","It's your favorite--kuruko mamutu. I had a feeling
you two wouldn't be able to stay long, so I made
a little extra...",
どういう意味だ？,What do you mean by that?,
マロロ！,Maroro!,
何を……する気じゃ……,Wh-What are you... going to do to me...?,
『わたし』の……家なのです。,Mine. My house.,
"この獣達がもし天幕を見つけたら……。
寝ているヒトが大勢いますし、すぐには対処できないと思います。","Most people in the tents are already asleep. They wouldn't be able to respond right away if these
beasts found our campsite.",
…………,...,
『グオォッ！？』,HRAUGH!?,
いやいやいや、ヤクトワルトさんも本気にしないでくださいよ！？,"Oh, come on! Don't take her seriously, Jachdwalt!",
"相手方の采配師は、ただ狡猾なだけではなく、
かなりの逸材と見た。充分警戒しなくてはならない。","The enemy's tactician is not only cunning, but
extremely talented. We must act with the utmost
caution.",
兄上……,Brother...,
でも、少し変なのです。砦を攻めるにしては、兵の数が少ない様に思えるのです。,"Strange, though... Even for the sake of sieging
a fortress, their numbers are quite few.",
ハクさんが……死ん…だ？　あのハクさんが？,Haku's... dead? OUR Haku?,
"エンナカムイとトゥスクルの関係は、確認が取れていましたが……
今日の事態は予想外でした。","We knew Ennakamuy and Tuskur had made contact,
but we couldn't have predicted this...",
母は静かに何かを思い、そして告げた。,"Mother falls silent for a moment, seemingly
reflecting on my answer, then speaks.",
"まだ少し緊張しているようだが、
上気した顔からは意気込みがひしひしと伝わってきた。
その様子に胸を撫で下ろす。","She still seems a little nervous, but I can tell
just from her face that her resolve is renewed.
I let out a small breath of relief...",
でも、もう薬師様に……,Hm? But the apothecary already...,
その必要はもう無くなってしまいました。,A duty which is no longer necessary.,
何時でもいいかな。,Ready when you are.,
い、いや、必要ない。,"N-No, that's not necessary.",
"しかし、お前達は気付かなかったか？　
このヤマトという國が、<何処:どこ>か<歪:いびつ>であるという事を。","Yet... did you never notice? Have you not seen
for yourself how twisted and distorted this land
called Yamato has become?",
マロにはその光景がはっきりと見えるのでおじゃる。,"All too easily doth the scene unfold, plain afore
my mind's eye...",
"だが、沈んだ太陽は再び昇り、民を照らしださんとしている。
アンジュ様という名の太陽がな。","However, just as the sun will set, so it will
rise and shine upon the people once again...
this time, in the form of Lady Anju.",
母は果たしてその背に乗っていい物かと少し戸惑いを見せる。,"Mother hesitates a moment, seemingly deliberating
on whether she should accept...",
<主:あるじ>様、一緒。,"We are with you, Master.",
他の者は、アンジュと共に<國境:くにざかい>で待機させている。,"The others are waiting at the border, along with
Anju.",
"はい。
抜け道は発見出来ずとも、城内では我々が潜入してくることを警戒している筈です。","Indeed. They may be unable to find the secret
passageways, but they will certainly be on the
lookout for them--and for any of us within them.",
これ以上の問答は無駄であろうからな。,"You have proven beyond doubt that words will do
nothing to convince you.",
強いて言うなら、この出任せ自体が次策か？,"...If anything, maybe the empty reassurance was
itself my backup plan?",
はい……,Yes...,
……起きてる？,...You're still awake in here?,
……ね、ネコネさん！？　いや、あのっ！　これはその、違うんですよっ。,"...Ah! N-Nekone!? Well! Um! Y-You misunderstand,
I--",
自分はアンジュにだけ聞こえるように小さく呟いた。,I whisper so that only Anju can hear me.,
それが……,Well...,
この力を以てすれば、オシュトル様を退けることも<容易:たやす>いかと。,"But I believe if you use this, you can finally
thwart Lord Oshtor with ease.",
！！,!,
"まだです。まだ終わっていません！　道は私が切り開きます！　
ライコウ様はどうかその夢を#@－－#！！","Not yet... This is NOT over yet! I shall open the
path! Lord Raiko, please--I will see your dreams
realized...!",
ミカヅチだけではないのじゃ。,And not just Mikazuchi!,
…………,...,
『……ココマデ、カ。』,...SO THIS IS WHERE IT ENDS.,
やあぁぁぁぁぁッ！！,YAAAAAAHHH!!!,
<余:よ>が笑い者になるというのか！？,You say I will become a laughingstock!?,
義には義を尽くすが<武人:もののふ>の務め。<何卒:なにとぞ>……,"It is a mononofu's code to repay honor with honor.
I ask your understanding...",
禍々しくて、恐い顔……前の化粧の方がいいと思うのだけど。,"Such a sinister face. I preferred your old
makeup, I think.",
クーちゃん！？,Ku!?,
"血路を切り開く！
クオン、行けるな？","We will cut through! Kuon, are you prepared?",
"<仮面:アクルカ>の力は、諸刃の剣なのです……
だから……使いすぎれば、<兄:あに>さまの命が……","The Akuruka... is a double-edged sword. Sh-Should
he reach a point of no return, dear brother will...",
ヴライ自身も、戦いを見守っていた者たちも、確かに異変を感じ取った。,"Something passes through everyone watching the
fight--even through Vurai himself. They can tell
something in the air has changed.",
それでは、物資と引き換えにヤマトを売り渡せと言っているに等しいではないか！,"You would ask me to sell out my own people?
For your country's BRIBES!?",
だが、今のままでいいはずが無い……ならば自分のとる道はひとつしかない。,"Only one way to find out. I can't just leave him
the way he is now.",
そう心配するな、<既:すで>に次の手は考えてある。,"You need not look so worried. I have already
devised our next step.",
"ウィツァルネミテアと化したクオン、その超常の存在は全てを蹂躙する。しかし#@－－#
ハクに託された想い、クオンを救いたいという想い、それが彼らを衝き動かした。
皆奮闘するも、ウィツァルネミテアが生み出す不死の影に、疲労の色が見え始める。","Transformed into Uitsualnemetia, Kuon's new, supernatural existence destroys
everything in its path. However, the others carry on, motivated by Haku's wishes
and their desire to save Kuon. Despite everyone's efforts, they begin to show signs
of fatigue in the long shadow of immortality cast by Uitsualnemetia.",
行くことは許可出来ない。,I cannot allow that.,
"この者の命で償わせる事がせめてもの供養なのです。
それでも、止せと仰るのですか……","The only way I can face the spirits of the dead
is with his head in hand! And you want me to stay
my blade?",
"兄貴の遺産を狙っているなら、そこを目指すはずだ。
このままでは、兄貴の身に危険が……","If he's after my brother's legacy, that's where
he'd go next. At this rate, my brother's going
to be in danger...",
やかましい！！　無能の役立たずが何を<吐:ぬ>かすにゃも！！,"Shut UP, you blithering fop!",
アンジュの言葉を<遮:さえぎ>るように、そう言葉を挟む。,"I interject, in an effort to circumvent Anju's
words.",
ああ、キウルもかい。やっぱり冬になるとか聞くと、自然と近くなるのかねえ。,"What, you too? So it's true that nature calls a lot more often in winter, eh?",
……え。,...Eh?,
こんな夜更けにどうした。,Kuon? What brings you here at this hour?,
夜は、オシュトル一行を歓迎する為に宴が開かれることとなった。,"In the evening, a banquet is held to welcome
Oshtor and his retinue to the castle.",
<余:よ>もハクに救われた。,Haku saved me.,
あの時のヴライのように……,Just like Vurai. I see...,
"これでは<皆:みな>に……顔向けできぬ……
こんなに不甲斐なくては……<余:よ>は……","How can I look the others in the face like this,
crawling in the dirt, spineless, cowering...?",
キウルのやつ、すぐ戻ってくるって言ったわりには遅いじゃない。,"Kiwru said he'd be right back, but now he's sure taking his time.",
このまま粘っても、そのうち力尽きて押し切られてしまうのです。,"Even if we aim only to endure their attacks,
we will inevitably be overwhelmed...",
少しでも義理堅い奴なら、声に応じてくれるだろうさ。,"Anyone who's got a strong sense of duty will
answer my call, sure.",
ハッハッハ、丈夫なのが取り柄ですからな。,"Hahahah! Well, being sturdy is one of my strong
points!",
はぁ……,Uh... huh...?,
"トキフサは急かすようにそう言うと、音頭を取った。
それに応えて、皆が盃を<呷:あお>る。","With Tokifusa urging us on, we all drink deeply
from our cups.",
『フッ、クオン……』,"HAH, KUON...",
でも、女性や子供は無事のようなのです。,But the women and children are safe...,
ミカヅチ……感謝せねばならぬようだな。,Mikazuchi... It seems I owe you thanks.,
わたしは<此処:ここ>で、いつまでも待ってますから。,"I will await your return. No matter how long it
takes.",
その巨体は、力なく轟音と共に崩れ落ち、やがてオシュトルの姿へと戻った。,"With one last broken roar, his giant body crumples
to the ground... and soon shifts back to the
familiar form of Oshtor.",
"<帝:ミカド>に今生の別れを告げ、緊急用の<門:ゲート>で脱出した一行は、
クジュウリ近郊の遺跡へと転送された。
そこは、かつてハクが目覚めた場所だった。","The group say their final farewells to the Mikado and escape through
an emergency gate which brings them to the ruins near Kujyuri, the
place Haku had once awakened.",
………,...,
伝わってない！,"No, you don't!",
……<否:いな>。,...No.,
姫殿下、お伝えしなければならぬ事が御座います。,"Your Highness, there is something you must know.",
で、でも、わたしはアンジュさまのお側付きとしてずっと……,"B-But I have been serving as Miss Anju's retainer
until--",
<揺:ゆ>り……<籠:かご>？,Cradle...?,
夢？,A dream?,
ハァァァァッ！！,HAAAAAAHHH!!!,
にょほほ……宴はまだまだこれからでおじゃるよ。,"Nyohoho... Know this; the festivities have only
now begun.",
"……随分無駄話が過ぎたようですね。
話は終わりです。続きは、またお会いしたときにでも。","...I believe I have wasted enough time talking.
This will be the end of it. If we meet again,
perhaps we shall continue our conversation.",
感慨に耽っていると、畏まっていたムネチカが再度口を開いた。,"Lost in my thoughts, I hear Munechika speak up.",
どうした、聞こえぬのか？　<余:よ>はハクの菓子を所望しておるのじゃぞ。,"What now? Was I unclear? I demand that Haku
prepare me an apology dessert.",
存じております。あなたの真の名も。ここへいらした目的も……,"I am aware. I know your true name, as well as
why you have come...",
"寄りかかってしまいそうな心を引き締める。
ネコネの不安げな様子はそうした想いを察してのことかもしれない。","I regain control of my thoughts. Maybe that's why
Nekone was concerned... She saw how much I wanted
to let everything go.",
その余裕溢れる様子に、こちらも悟る。,"I realize immediately, seeing his confident
demeanor.",
……さて。,...Now.,
役立たずは役立たずなりに、身の程を知るであります。,Good-for-nothings should know their place.,
皆、考えていることは同じみたい。,Looks like we're all thinking the same thing.,
さてと。ちょっとの間、こっちに集中してもらおうかねえ。,"Now then, my friends... How about you pay attention to me for a second?",
"元々、イズルハは我等の氏族が治めており、
それを我が家が<長:オサ>となって<纏:まと>め上げていたのです。","Originally, Izuruha was governed by our clan.
The head of our family became chieftain, and
was responsible for uniting the other clans.",
酒を流し込むごとに、少しずつだがトキフサの躰がゆらゆらと揺れ始めていく。,"With all that alcohol in him, Tokifusa's beginning
to gently rock back and forth in his seat...",
逃げ……た？,It... ran away?,
"何が、何が氏族の<長:オサ>だっ！　
そんな物、金印さえあれば、貴様のような小娘でも……！","What is the chieftain of the clan, really!?
None of it matters! As long as you have the
Golden Seal, even a simple girl like YOU can...",
あっ#@－－#！？,Ah--!?,
<姉:あね>さまを助けるです！,"We will save you, dear sister!",
"嘆くヒトのところに、どこからともなく真っ白いヒトが現れて、
救いの手を差し伸べてくれるという、マシロ様。","Lord Mashiro—a man clad in all white who appears seemingly out of nowhere
before someone in need and lends a helping hand.",
"それに、これは立派な再利用。
廃棄されるのを待つばかりの彼等を、私の力で活躍出来るようにしてあげたのです。","Not to mention, quite economical. All of them
would have led much shorter lives, had I not
used my power to give them new purpose.",
後はどうか……真の姫殿下を玉座に……そして支えて欲しいでおじゃる……,"Unto these words listen, now, and listen well.
If a princess is to ascend yon seat... Let it be
our liege true, and p-prithee remain at her side.",
<兄:あに>さま……,Dear brother...,
………,...,
心配するな。少しの間くらいなら、ネコネがいなくとも何とかなる。,"Do not worry. I am sure I can manage our affairs
for a time without you, Nekone.",
ギギギギギ！！,"*rattle, rattle*",
……マロロ？,...Maroro...?,
いや、それ以前に……,More importantly...,
大丈夫、マスターキーは壊れてる。それに、<聖廟:せいびょう>はもう……,"It's all right. The Master Key is broken. And
besides, the Mausoleum is...",
"一方、クオンはいつのまにかトキフサの隣りに腰掛けると、
しなだれ掛かって酒壺を差し出した。","On the other side, Kuon appears to have snuggled
up to Tokifusa, hanging on his arm and raising
one of the bottles for him.",
あやや、なんかお墓に埋めたはずの顔があるぇ。,"Oh, this is a bit much! I thought we'd already
got those pretty faces into their graves.",
『ヨカロウ。所詮ハ足手マトイノ身ト知ルガヨイ。』,"VERY WELL. SOON ENOUGH, YOU WILL UNDERSTAND
THAT YOU ARE MERELY DEAD WEIGHT IN THIS
BATTLE...",
やや硬い声で告げると腰を下ろし、居住まいを正した。,"I straighten my posture, falling into Oshtor's
stolid, firm voice.",
やめてっ……！！,Stop...!,
ゲンホウは呆れ気味に答えた。,Genho sounds flat-out exasperated.,
そんな中、自分は安堵し小さく息を吐いた。,"In this idyllic moment, I feel myself inwardly
sigh in relief.",
そういえば、トゥスクルの方々は、<仮面:アクルカ>を封ずる術を知っていた……,"...I recall now--the people of Tuskur were said
to know a method of sealing away the Akuruka...",
きっと、そうです。姿だけじゃなく中身も、心までもきっとそのまま……,"I believe you're right. Not just their appearance,
but their very souls are the same...",
お父さま？,Father?,
それもまた、ひとつの道かと。,That is indeed one option.,
ならば……,So be it...,
だから、喋るな！,I said stop talking!,
持っていって、<皆:みな>さんと食べてちょうだい。,"Please, take it and share it with whomever you
care to.",
#@－－#ッ！？,!?,
させぬでおじゃる……ッ！！,I shan't allow this!,
"おかげでソイツがあればイズルハの中じゃ、
少々の無理無茶も押し切ってしまえるって寸法だ。","Long as you got that... at least in Izuruha, you
can get away with workin' outside the lines.",
と、どけぇぇぇぇ、邪魔だぁぁぁぁぁ！！,O-Out of my way! Move!,
ということは、やはりトゥスクルの……,"OK, so she's definitely from Tuskur...",
そう……,I see...,
この先、我等が大きく動く為には、急ぎ白黒をつける必要がある。,"If we wish to ensure our future, we must force
them to come to a decision.",
どうやらヤツは生き残る事を選んだようだな。,Seems its survival instinct won out.,
アンジュはオーゼンの言葉に当然のように大きく頷いた。,"Anju nods grandly at Ozen's words--as if that's
the obvious response.",
無論、<某:それがし>は姫殿下を一人放り出すような不忠は致しませぬ。,"Of course, I would never do anything so disloyal
as to abandon you.",
まずい、このままでは……,Not good. If this goes on--,
そのまま、座敷へと通された。,"From there, we are led into a reception room.",
な……何故じゃ……,Wh... Why...?,
"私達の方が押しているはずなのに、
追い詰められているのは私達なのでは#@－－#？","It seemed like the battle was ours, but the
longer this fight wears on, the more dangerous
it gets for us...",
それからこれを……,And I also have this for you...,
じゃが……もう少しくらいは。,"But... just a little bit longer, surely...?",
<如何:いかが>されましたかな？,What is the matter?,
このままじゃ……オシュトル！！,If this keeps up... Oshtor!!,
それは……,That is...,
あやや……トドメを刺したはずやのに、みんなピンピンしてるぇ。,"Oh dear... I was sure I finished them off, but
then up they get, fit as a fiddle.",
いかんな。そのような甘えは。,That won't do. I can't relax like that.,
今の話には、こちらの打算も大きいんだがな。,"Truth is, my proposal's more self-serving than
she probably realizes.",
クスッ、クスクス……,Hehe... Heehee...,
逆賊はマロの方で、オシュトルが正義と言うでおじゃるか？,"Oshtor standeth upon the side of justice, and the
t-traitor... is I?",
<兄:あに>さま……<兄:あに>さまぁっ！！,Dear brother... dear brother!!,
『おおおオォォォォォォォォォォォッ！！』,HAAAAAAAAAAAAAAAH!,
ノスリ殿。,Lady Nosuri.,
マ、マロ？,M-Maro?,
どうか、<某:それがし>を安心させると思って。,"Please. If nothing else, it will ease my worries.",
聖上に刃を向ければ高くつく……それを世に知らしめる為の<贄:にえ>となってもらう。,"To take up arms in defiance of the throne is
treason in the highest order. You will serve as
an example to others who would echo your folly.",
未だ予断を許さぬ状況じゃが、こうして<皆:みな>が支えてくれる。,"Though our circumstances remain precarious, they
have stayed ever at my side.",
む？,Hm?,
姉上の憧れなんです。その当時の父は。,"Our father was an incomparable man. He inspired
my sister to become the woman she is today.",
俺の背にっ！！,Get him on my back!!,
それが、今回動いた理由だと？,And this is why you have finally taken action?,
トキフサはそう言うと、まるでこれまでの日々を思い出すかのように目を細めた。,"Tokifusa's expression grows distant as he talks,
lost in reminiscence.",
…………,...,
手が回らぬ所は別の策で対応しよう。,"Any gaps we cannot fix, we will have to solve
through a different method.",
"では、せっかくですから、
このお菓子は一緒に食べましょうか。それとも……","If that is the case, why don't we take this
opportunity to enjoy them together? Or...",
聖上、こんな夜更けに<如何:いかが>なされた。,My liege. What are you doing here at this hour?,
それは……,That's...,
"ヤマトの件は、姫さんが一任されてるんですぜ。
そう決めたのなら、何の文句がありやしょうや。","Hey, you're the one in charge of this Yamatan
stuff. If you say that's the plan, who am I to
argue?",
ふぅむ、さては<余:よ>の快気祝いの菓子の支度をしておるのじゃな？,"Aha, I understand. He's preparing another of his
little confections to celebrate my recovery?",
……<主:あるじ>様。,...Master.,
<主:あるじ>様、口を開けてください。,"Master, please open your mouth.",
………………,...,
おや、返事がないでおじゃるな？　まさか、もう限界だと言うでおじゃるか？,"Oh? Wherefore dost thou protest, now? Driven
already to thy soul's limit?",
あの姿、まさか……,"Wait, I recognize them...",
